id,inDegree,keywords
http://hiddenpaod7mpmerns45n3uuuqbmtcuwi74czwocktg4xfckemxz6sqd.onion,26,hack|bitcoin|encrypt|skim|btc|crack|exploit
http://streetgg2yqlii5ls3bro5ue3fhdaew4grl5xiduyyp22q7aachdfpad.onion/buy-eur.php,26,btc|bitcoin
http://streetureh7irvhrw7wfz72azz6ztlrgx56e7tgcga2j7gtyzcf4clyd.onion/buy-gbp.php,28,btc|bitcoin
http://hiddenpaod7mpmerns45n3uuuqbmtcuwi74czwocktg4xfckemxz6sqd.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion,19,bitcoin|phish|encrypt|hack|crack|ransomwar|malwar|breach|script
http://hiddenpaod7mpmerns45n3uuuqbmtcuwi74czwocktg4xfckemxz6sqd.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion,19,bitcoin|phish|encrypt|hack|crack|ransomwar|malwar|breach|script
http://hiddenpaod7mpmerns45n3uuuqbmtcuwi74czwocktg4xfckemxz6sqd.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion,19,bitcoin|phish|encrypt|hack|crack|ransomwar|malwar|breach|script
http://hiddenpaod7mpmerns45n3uuuqbmtcuwi74czwocktg4xfckemxz6sqd.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion,19,bitcoin|phish|encrypt|hack|crack|ransomwar|malwar|breach|script
http://hiddenpaod7mpmerns45n3uuuqbmtcuwi74czwocktg4xfckemxz6sqd.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion,19,bitcoin|phish|encrypt|hack|crack|ransomwar|malwar|breach|script
http://hiddenpaod7mpmerns45n3uuuqbmtcuwi74czwocktg4xfckemxz6sqd.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion/irc://iljqpkgabg4hrchbozwovffyk7fobpovfudsdmdjinehzihjn2uggmad.onion,19,bitcoin|phish|encrypt|hack|crack|ransomwar|malwar|breach|script
http://streetqwbxpf7ffdinbhqjdeagdbc6syye5bojb33k4vcweswpf3qnad.onion/buy-eur.php,19,btc|bitcoin
