id,inDegree,keywords
http://iyptqjjxwrinw2wxheags6cknm3ix5nhc222xdab2dtimym4huqmyaqd.onion,80,bitcoin|phish|hack|skim|encrypt|crack|ransomwar|malwar|breach|script
http://torbuyjiwzgtnmieg62urzu3mfjzv35dt4ghpal3qkugzrq74urt45yd.onion/vendors/carding/cassandra/,22,hack|encrypt|bitcoin
http://torbuyjiwzgtnmieg62urzu3mfjzv35dt4ghpal3qkugzrq74urt45yd.onion/vendors/gift-card/fast-gft/,13,hack|encrypt|bitcoin
http://torbuyjiwzgtnmieg62urzu3mfjzv35dt4ghpal3qkugzrq74urt45yd.onion/vendors/money-transfers/oliver-fox/,17,hack|encrypt|bitcoin
http://imr6xtyr6f7wcwaegydbdkquuuhceol2qtu6rjdhf74d4dszs2hnvcad.onion,18,hack|btc
http://xyc3fv7mmqhl2ajynjht6hqltea3lndfbv4qas2vblwltfp3cr2yq5ad.onion,97,dos|script|encrypt|btc
http://torbuyjiwzgtnmieg62urzu3mfjzv35dt4ghpal3qkugzrq74urt45yd.onion,55,hack|encrypt|bitcoin
http://iyptqjjxwrinw2wxheags6cknm3ix5nhc222xdab2dtimym4huqmyaqd.onion/wiki/Bitcoin,113,bitcoin|malwar|ransomwar|btc|exploit|hack|threat|botnet|trojan|crack|encrypt|dos
http://iyptqjjxwrinw2wxheags6cknm3ix5nhc222xdab2dtimym4huqmyaqd.onion/gopher://jewjewkeei4o4bvn.onion/,14,bitcoin|phish|hack|keylogg|ddos|spywar|botnet|skim|encrypt|crack|ransomwar|malwar|breach|script
http://gpp6nwvsps43b3mfacsh433uroo6uyjvvpr6tgj4jh4n5ngxt7rqbvid.onion,46,script|trojan|threat|exploit|encrypt|firewal
