id,inDegree,keywords
http://g3hbygdjjieysdv62hudmopzbn4ccdzyzvygvadu5gyhkzowrwjjobyd.onion/cat/5,57,hack|exploit|vulner|bitcoin|btc|crack
http://g3hbygdjjieysdv62hudmopzbn4ccdzyzvygvadu5gyhkzowrwjjobyd.onion/cat/5/page/14,31,hack|bitcoin|btc|dos|ddos|phish|crack
http://g3hbygdjjieysdv62hudmopzbn4ccdzyzvygvadu5gyhkzowrwjjobyd.onion/cat/5/page/23,30,hack
http://5ahdmwvz4j7i2vam2mzgopusjjbbvatpqzkwp2ay5kowv4imrk6ymbqd.onion,30,hack|encrypt|bitcoin|exploit|vulner|ddos|btc|crack
http://z5zmar3i6yf4ds6nbbl3e4pxwptvotrrvlixmbtxsaw5c6vba5kcj3qd.onion,19,encrypt|hack|crack
http://ivsrrl2knkwb7vjroibxbq5yqvmwn3hixmjzht2li7yl3lwa636vt4qd.onion,19,encrypt|hack|crack
http://vykenniek4sagugiayj3z32rpyrinoadduprjtdy4wharue6cz7zudid.onion/dir/bank-accounts.html,24,btc|hack|bitcoin|crack
http://vlktybufxxazw534trclbfvxizj2nsv3bgxinrvlyvfm7g25gbrtmqid.onion,20,bitcoin|btc
http://vlktybufxxazw534trclbfvxizj2nsv3bgxinrvlyvfm7g25gbrtmqid.onion/blog/bitcoin-as-hedge-against-confiscation-of-wealth.html,26,bitcoin|btc
http://vlktybufxxazw534trclbfvxizj2nsv3bgxinrvlyvfm7g25gbrtmqid.onion/ar/blog_page%3d4.html,21,bitcoin|btc
